user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,"@WholeMarsBlog Given all that is in V11, it will take a few weeks to expand the beta, then another few weeks to go wide release to US &amp; Canada",11687,833,2022-11-12,given all that is v11 it will take few weeks expand beta then another few weeks go wide release us amp canada,-0.16666666666666666,0.20000000000000004
elonmusk,@WholeMarsBlog FSD V11 rolled out at 11:11pm Pacific,12596,1051,2022-11-12,fsd v11 rolled out at 11 11pm pacific,0.0,0.0
elonmusk,🪦🤖,445456,29053,2022-11-12,,0.0,0.0
elonmusk,Twitter is,97075,12169,2022-11-12,twitter is,0.0,0.0
elonmusk,@KimDotcom @sama Not sure I have much to add,8389,326,2022-11-12,not sure i have much add,-0.024999999999999994,0.5444444444444444
elonmusk,@sama https://t.co/Im1hBlUihz,289927,27376,2022-11-12,,0.0,0.0
elonmusk,FTX meltdown/ransack being tracked in real-time on Twitter,218253,19967,2022-11-12,ftx meltdown ransack being tracked real time twitter,0.2,0.30000000000000004
elonmusk,@BillyM2k 🤔,5858,265,2022-11-12,,0.0,0.0
elonmusk,@SCHIZO_FREQ 🤣,23368,782,2022-11-12,,0.0,0.0
elonmusk,@alexgilbertnz @TechEmails It’s coming,8787,328,2022-11-12,it s coming,0.0,0.0
elonmusk,"@TechEmails Accurate. He set off my bs detector, which is why I did not think he had $3B.",36381,2879,2022-11-12,accurate he set off my bs detector which is why i did not think he had 3b,0.4000000000000001,0.6333333333333334
elonmusk,We’re adding a “Parody” subscript to clarify,69934,3611,2022-11-11,we re adding parody subscript clarify,0.0,0.0
elonmusk,@chicago_glenn @BernieSanders @CommunityNotes 🤣,4643,140,2022-11-11,,0.0,0.0
elonmusk,"@BernieSanders Full answer to insulin price question is complex. Short answer is that original insulin, discovered in 1921 (not 1923), is inexpensive, costing as little as $25. 

New, higher efficacy analog variants of insulin are more expensive. @CommunityNotes

https://t.co/S4c0esI1vU",30515,2695,2022-11-11,full answer insulin price question is complex short answer is that original insulin discovered 1921 not 1923 is inexpensive costing as little as 25 new higher efficacy analog variants insulin are more expensive,0.0693181818181818,0.5171717171717172
elonmusk,"@WholeMarsBlog It used to be:

“Internet guy will fail at rockets/cars!”

Now it is:

“Rockets/cars guy will fail at Internet!”

Literally from same media outlets 🤣🤣",39634,5149,2022-11-11,it used be internet guy will fail at rockets cars now it is rockets cars guy will fail at internet literally same media outlets,-0.3333333333333333,0.2416666666666666
elonmusk,@MostlyPeacefull lol,9850,298,2022-11-11,lol,0.8,0.7
elonmusk,@SawyerMerritt @BillyM2k @WholeMarsBlog Maybe should be default off? Subscriber is a way better name.,4486,173,2022-11-11,maybe should be default off subscriber is way better name,0.5,0.5
elonmusk,@sama https://t.co/C8hn7Ohxt4,2403,143,2022-11-11,,0.0,0.0
